52294-1,2025-09-23T00:00:00.011,Credit,620,,305.19,Payment
52294-1,2025-08-25T00:00:00.010,Credit,620,,305.19,Payment
52294-1,2025-08-11T00:00:00.009,Credit,620,,305.19,Payment
52294-1,2025-07-18T00:00:00.008,Credit,620,,305.19,Payment
52294-1,2025-06-20T00:00:00.007,Credit,620,,305.19,Payment
52294-1,2025-05-06T00:00:00.006,Credit,620,,305.19,Payment
52294-1,2025-04-07T00:00:00.005,Credit,620,,305.19,Payment
52294-1,2025-03-04T00:00:00.004,Credit,620,,305.19,Payment
52294-1,2025-01-24T00:00:00.003,Credit,620,,305.19,Payment
52294-1,2024-12-23T00:00:00.002,Credit,620,,305.19,Payment
52294-1,2024-11-27T00:00:00.001,Credit,620,,305.19,Payment
